STOP_SEQUENCE,CUM_TIME,CUM_DIST
3,44,0.584
7,46,1.469
13,49,2.434
17,52,3.268
21,55,3.881
26,58,4.726
27,60,4.86
28,61,5.185
31,64,5.71
34,67,6.061
38,70,6.475
43,74,7.137
45,76,7.451
49,79,8.128
52,82,8.668
53,84,8.931
55,85,9.152
57,88,9.546
59,91,9.859
63,94,10.295
66,97,10.687
69,99,11.185
69,100,11.234
72,103,11.765
75,106,12.251
80,109,12.93
83,112,13.345
87,115,13.894
91,118,14.382
100,124,15.651
104,127,16.282
104,0,0
104,1,0.116
104,4,0.205
104,6,0.205
104,9,0.205
104,12,0.208
104,15,0.209
104,18,0.212
104,21,0.215
104,24,0.215
104,26,0.215
104,30,0.275
103,31,0.427
102,33,0.677
98,36,1.262
94,39,1.831
90,42,2.352
87,45,2.702
82,48,3.359
78,51,3.934
74,54,4.5
71,57,5.033
69,60,5.382
67,62,5.727
67,63,5.88
62,66,6.438
61,69,6.565
57,72,7.101
55,74,7.496
52,77,7.965
47,80,8.903
43,83,9.427
41,85,9.712
38,86,10.173
33,89,10.673
31,92,11.042
28,95,11.514
25,99,12.088
19,104,13.084
4,116,15.805
2,119,16.237
20,0,0
20,4,0.016
20,10,0.018
20,13,0.02
20,25,0.022
20,28,0.022
20,31,0.061
21,32,0.207
24,34,0.649
27,37,1.301
30,40,1.834
33,43,2.312
37,46,2.642
41,49,3.208
43,50,3.508
45,51,3.769
47,54,4.122
51,57,4.691
53,60,5.238
56,63,5.649
59,66,6.079
62,69,6.443
64,72,6.7
69,75,7.42
72,78,7.968
74,81,8.36
75,82,8.492
78,84,8.897
79,85,9.05
79,87,9.053
83,89,9.636
91,93,10.744
95,96,11.188
99,99,11.813
104,102,12.597
106,105,13.099
109,108,13.953
116,111,15.133
119,113,15.479
117,0,0
116,3,0.549
119,5,1.302
119,6,1.333
119,7,1.481
113,9,1.751
110,12,2.274
107,15,2.886
105,18,3.594
103,20,3.895
102,21,4.111
98,24,4.743
93,27,5.347
88,30,6.081
85,33,6.465
81,36,6.941
77,39,7.45
74,42,8.034
71,45,8.477
69,47,8.809
68,50,9.165
62,53,9.865
58,56,10.411
55,59,10.834
53,62,11.315
48,65,12.094
44,68,12.672
41,70,13.067
39,71,13.424
34,74,13.893
31,77,14.299
28,80,14.757
26,83,15.292
26,84,15.379
22,86,15.912
1,0,0
1,3,0.044
1,6,0.044
1,9,0.05
1,12,0.054
1,15,0.056
1,18,0.058
1,21,0.058
1,24,0.06
1,27,0.065
1,30,0.068
1,31,0.07
1,33,0.072
2,36,0.265
3,38,0.433
4,39,0.679
7,42,1.298
11,45,2.045
14,48,2.553
16,51,2.885
21,55,3.74
24,57,4.245
27,60,4.716
28,63,5.071
31,66,5.551
33,69,5.846
35,72,6.035
41,75,6.639
43,77,7.066
44,78,7.167
48,81,7.724
51,84,8.276
53,86,8.8
54,87,8.966
58,90,9.513
62,93,10.015
65,95,10.438
69,100,10.989
70,101,11.381
75,104,11.973
78,107,12.545
80,110,12.772
83,113,13.175
87,116,13.744
90,119,14.086
93,123,14.543
95,125,14.825
100,128,15.632
104,131,16.242
20,0,0
20,1,0.015
20,6,0.017
20,8,0.019
20,11,0.021
20,17,0.024
20,20,0.026
20,23,0.028
20,26,0.028
20,27,0.028
20,29,0.071
21,31,0.225
23,32,0.533
27,36,1.199
32,41,2.198
36,44,2.557
40,47,3.006
44,50,3.565
47,53,4.039
50,56,4.608
53,59,5.178
53,60,5.286
56,62,5.634
59,65,6.125
63,68,6.561
66,71,6.967
69,74,7.485
75,80,8.485
78,83,8.965
81,86,9.328
83,88,9.582
84,89,9.747
87,92,10.143
90,95,10.51
93,98,10.929
94,101,11.173
98,104,11.692
100,107,12.041
103,110,12.575
104,112,12.824
105,113,13.073
108,116,13.701
111,119,14.357
104,0,0
104,18,0.002
104,27,0.004
104,28,0.004
104,29,0.1
103,31,0.432
98,33,1.236
91,36,2.077
86,39,2.787
83,42,3.223
81,44,3.519
79,45,3.801
75,48,4.281
72,51,4.764
70,54,5.058
68,57,5.544
68,60,5.548
64,63,6.148
62,66,6.416
57,69,6.984
55,72,7.476
52,75,8.07
49,78,8.556
45,81,9.154
41,84,9.781
36,87,10.356
32,90,10.713
29,93,11.222
26,96,11.861
26,98,12.007
23,99,12.387
18,102,13.087
8,111,14.924
4,114,15.706
1,0,0
1,4,0.061
1,18,0.063
1,34,0.186
2,37,0.358
3,38,0.492
8,43,1.681
12,46,2.245
21,53,3.798
24,55,4.254
27,58,4.793
31,63,5.63
35,66,6.065
39,69,6.491
43,73,7.091
47,75,7.652
53,81,8.722
53,83,8.84
55,84,9.071
58,87,9.642
61,90,9.995
63,93,10.238
67,96,10.686
68,99,10.867
69,101,11.062
69,102,11.15
72,105,11.675
74,108,12.042
77,111,12.47
80,114,12.851
83,116,13.245
84,117,13.467
89,120,14.063
93,123,14.627
96,126,14.988
103,129,16.151
20,0,0
20,1,0.015
20,3,0.018
20,6,0.022
20,9,0.024
20,11,0.026
20,14,0.028
20,29,0.063
21,30,0.27
25,32,0.781
27,35,1.292
30,38,1.825
33,41,2.318
38,44,2.747
42,47,3.329
43,49,3.509
44,50,3.643
47,53,4.097
50,56,4.644
53,60,5.305
59,65,6.026
61,68,6.311
63,71,6.557
66,74,6.907
69,77,7.408
71,80,7.824
74,83,8.235
76,86,8.672
80,89,9.159
83,92,9.609
88,95,10.204
90,98,10.488
93,101,10.964
98,104,11.536
103,107,12.361
104,109,12.646
105,110,12.81
114,116,14.636
118,119,15.027
104,0,0
104,1,0.032
104,4,0.034
104,7,0.035
104,13,0.037
104,16,0.039
104,19,0.041
104,22,0.043
104,25,0.126
103,27,0.407
101,28,0.746
98,31,1.347
93,34,1.9
89,37,2.434
84,40,3.041
81,42,3.452
81,43,3.459
76,46,4.197
73,49,4.722
70,52,5.049
68,55,5.546
67,56,5.701
65,58,6.084
62,61,6.403
59,64,6.777
55,67,7.447
54,70,7.634
53,73,7.781
50,76,8.393
45,79,9.15
42,82,9.664
37,85,10.272
33,88,10.669
29,91,11.273
27,94,11.778
25,97,12.112
22,100,12.576
18,103,13.134
8,112,14.976
4,115,15.771
2,117,16.216
109,0,0
108,1,0.24
105,4,1.065
103,5,1.402
94,10,2.814
90,13,3.31
87,16,3.67
83,19,4.19
81,22,4.465
76,25,5.12
74,28,5.506
72,31,5.88
68,34,6.491
67,35,6.683
66,37,6.913
64,40,7.278
60,43,7.648
59,44,7.758
57,46,7.996
55,49,8.461
52,50,8.948
50,52,9.397
47,55,9.948
42,58,10.599
38,61,11.205
33,64,11.721
30,67,12.217
27,70,12.718
25,71,13.129
22,73,13.665
119,0,0
106,6,1.537
103,9,2.202
102,10,2.416
98,13,3.046
95,15,3.459
91,18,3.918
88,21,4.411
84,24,4.877
80,27,5.44
76,30,5.936
73,33,6.47
70,36,6.859
68,39,7.406
65,42,7.811
64,45,8.201
59,48,8.594
57,51,8.862
56,54,9.04
54,57,9.332
53,59,9.687
52,60,9.829
48,63,10.427
45,66,10.897
41,69,11.499
37,72,12.074
33,75,12.395
30,78,12.805
28,81,13.176
26,84,13.803
21,87,14.493
1,0,0
1,6,0.073
1,8,0.076
1,11,0.078
1,14,0.081
1,17,0.081
1,20,0.083
1,24,0.086
1,26,0.086
2,33,0.278
3,35,0.472
5,38,0.938
8,41,1.62
16,47,2.924
20,50,3.574
21,51,3.741
23,53,4.045
26,56,4.614
29,59,5.185
31,62,5.562
34,65,5.912
38,68,6.324
43,71,6.991
46,74,7.448
50,77,8.163
53,80,8.631
53,82,8.783
55,83,9.004
57,86,9.462
61,89,9.968
63,92,10.182
65,95,10.376
67,98,10.662
69,99,11.053
70,101,11.395
73,104,11.791
75,107,12.148
78,110,12.618
82,113,13.115
83,114,13.229
84,116,13.387
89,119,13.929
90,122,14.169
93,125,14.618
98,128,15.18
20,0,0
20,6,0.002
20,12,0.004
20,18,0.005
20,24,0.019
22,27,0.306
26,30,0.969
26,31,1.117
28,33,1.401
30,36,1.78
34,39,2.294
39,42,2.82
43,47,3.373
44,48,3.519
48,51,4.116
51,54,4.707
53,57,5.132
56,60,5.482
59,63,5.956
61,66,6.169
63,69,6.447
65,72,6.722
68,76,7.149
69,78,7.287
71,80,7.719
75,83,8.285
78,86,8.84
80,89,9.116
83,90,9.472
84,92,9.624
87,95,10.027
100,104,11.744
104,108,12.548
110,113,13.94
116,116,14.939
118,118,15.2
104,0,0
104,4,0.002
104,7,0.005
104,10,0.006
