STOP_SEQUENCE,CUM_TIME,CUM_DIST
26,26,4.652
26,27,4.682
27,30,4.941
29,33,5.249
33,36,5.83
37,39,6.183
41,42,6.676
43,44,7.007
44,45,7.148
48,48,7.742
51,51,8.343
53,53,8.788
55,54,9.001
57,57,9.401
60,60,9.774
61,63,9.929
64,66,10.222
67,69,10.691
69,70,11.071
69,71,11.233
73,74,11.782
76,77,12.323
80,80,12.748
83,83,13.275
90,86,14.175
94,89,14.658
105,96,16.348
108,98,17.199
112,101,18.051
117,104,18.762
119,106,19.029
119,0,0
110,3,0.643
105,6,1.862
103,8,2.211
99,9,2.868
93,12,3.651
86,15,4.576
83,18,5.044
82,21,5.116
81,22,5.288
78,24,5.674
75,27,6.206
70,30,6.801
67,32,7.441
67,33,7.582
61,36,8.139
59,39,8.534
56,42,9.025
53,46,9.555
49,48,10.115
45,51,10.79
45,54,10.798
41,57,11.348
34,60,12.139
31,62,12.482
28,65,12.978
26,68,13.53
20,71,14.482
19,72,14.608
12,77,15.838
8,80,16.513
4,83,17.337
1,86,17.798
9,0,0
17,6,1.311
20,9,1.863
20,12,1.863
20,15,1.865
21,16,1.987
26,22,2.962
29,27,3.463
31,30,3.731
31,33,3.852
34,36,4.144
37,39,4.397
42,42,5.031
43,43,5.229
46,45,5.623
50,48,6.331
54,51,7.11
55,52,7.244
55,54,7.248
57,57,7.632
59,60,7.921
61,63,8.124
63,66,8.439
67,68,8.832
69,70,9.257
69,71,9.384
72,74,9.857
75,77,10.271
77,80,10.729
79,83,10.865
81,86,11.137
83,89,11.452
86,91,11.86
87,92,12.017
91,95,12.582
94,98,12.939
99,101,13.726
105,105,14.634
108,107,15.484
114,110,16.564
117,113,17.057
119,114,17.292
119,0,0
113,3,0.313
104,9,2.296
103,10,2.456
98,12,3.31
93,15,3.908
89,18,4.485
84,21,5.115
81,24,5.503
79,27,5.889
75,30,6.371
72,33,6.857
69,36,7.38
66,39,7.963
61,42,8.446
59,45,8.833
55,48,9.481
52,51,10.092
48,54,10.675
44,57,11.425
41,58,11.736
38,60,12.241
33,63,12.707
28,66,13.46
26,69,14.012
25,71,14.123
25,72,14.222
19,76,15.048
8,84,17.005
2,88,18.254
1,89,18.354
119,0,0
109,6,0.899
104,9,2.122
103,12,2.379
98,15,3.134
94,18,3.687
91,21,4.006
91,22,4.068
90,24,4.318
84,27,4.963
81,30,5.386
78,33,5.815
74,36,6.403
71,39,6.902
68,42,7.425
67,43,7.566
65,45,7.874
61,47,8.271
60,51,8.534
58,53,8.855
56,56,9.154
53,61,9.715
50,62,10.151
47,65,10.674
44,68,11.081
36,75,12.146
32,77,12.494
30,80,12.876
28,83,13.131
26,86,13.625
26,87,13.759
21,89,14.417
20,91,14.611
20,0,0
21,3,0.122
26,6,0.934
27,8,1.121
28,9,1.388
29,12,1.65
31,15,1.949
35,18,2.384
40,21,2.897
42,24,3.311
43,25,3.409
46,27,3.769
49,30,4.409
52,33,4.836
53,35,5.184
54,36,5.317
57,39,5.738
60,42,6.115
61,45,6.237
63,48,6.526
66,51,6.923
69,54,7.364
70,57,7.743
74,60,8.2
77,63,8.827
81,66,9.316
82,69,9.416
86,72,9.893
90,75,10.422
92,78,10.799
100,84,11.79
104,88,12.594
106,90,13.095
110,93,14.053
117,98,14.95
119,99,15.14
119,0,0
112,3,0.385
109,6,0.996
105,9,1.99
103,11,2.374
101,12,2.785
97,15,3.41
92,18,3.961
90,21,4.405
86,24,4.807
81,27,5.445
77,30,5.979
